id,uri,domain
147695,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147695.html,schnitzler-briefe
147681,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147681.html,schnitzler-briefe
147638,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147638.html,schnitzler-briefe
147635,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147635.html,schnitzler-briefe
147611,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147611.html,schnitzler-briefe
147600,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147600.html,schnitzler-briefe
147584,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147584.html,schnitzler-briefe
147550,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147550.html,schnitzler-briefe
147533,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147533.html,schnitzler-briefe
147521,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147521.html,schnitzler-briefe
147464,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147464.html,schnitzler-briefe
147457,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147457.html,schnitzler-briefe
147350,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147350.html,schnitzler-briefe
147343,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147343.html,schnitzler-briefe
147316,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147316.html,schnitzler-briefe
147314,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147314.html,schnitzler-briefe
147305,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147305.html,schnitzler-briefe
147246,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147246.html,schnitzler-briefe
147198,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147198.html,schnitzler-briefe
147100,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147100.html,schnitzler-briefe
147089,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147089.html,schnitzler-briefe
147065,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147065.html,schnitzler-briefe
147052,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147052.html,schnitzler-briefe
147049,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb147049.html,schnitzler-briefe
146978,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb146978.html,schnitzler-briefe
146954,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb146954.html,schnitzler-briefe
146888,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb146888.html,schnitzler-briefe
146867,https://schnitzler-briefe.acdh.oeaw.ac.at/pmb146867.html,schnitzler-briefe
